asset,episode_id,start_date,end_date,duration_days,start_close,end_close,min_close,max_close,start_rsi2,end_rsi2,min_rsi2,ret_day1_hold3_pct,ret_day2_hold3_pct,ret_day3_hold3_pct,ret_after_episode_hold3_pct
BTC,BTC_1,2024-07-11,2024-07-11,1,57350.0,57350.0,57350.0,57350.0,0.0,0.0,0.0,6.03,,,11.83
BTC,BTC_2,2024-07-18,2024-07-18,1,63960.7,63960.7,63960.7,63960.7,0.0,0.0,0.0,6.53,,,1.33
BTC,BTC_3,2024-07-23,2024-07-24,2,65900.8,65367.0,65367.0,65900.8,0.0,0.0,0.0,3.06,3.88,,3.73
BTC,BTC_4,2024-07-30,2024-07-31,2,66175.1,64638.1,64638.1,66175.1,0.0,0.0,0.0,-7.2,-6.11,,-11.02
BTC,BTC_5,2024-08-03,2024-08-05,3,60688.5,54006.5,54006.5,60688.5,0.0,0.0,0.0,-7.59,-5.18,14.25,8.52
BTC,BTC_6,2024-08-10,2024-08-11,2,60951.7,58717.7,58717.7,60951.7,9.8,3.95,3.95,-0.58,-0.04,,-3.04
BTC,BTC_7,2024-08-15,2024-08-15,1,57554.9,57554.9,57554.9,57554.9,0.0,0.0,0.0,1.58,,,1.01
BTC,BTC_8,2024-08-26,2024-08-28,3,62854.7,59025.6,59025.6,62854.7,7.25,0.0,0.0,-5.52,-0.59,-0.09,-3.48
BTC,BTC_9,2024-08-31,2024-09-01,2,58972.3,57321.2,57321.2,58972.3,0.0,0.0,0.0,-2.5,1.13,,-5.01
BTC,BTC_10,2024-09-06,2024-09-07,2,53948.3,54146.4,53948.3,54146.4,0.0,8.21,0.0,5.77,6.43,,4.55
BTC,BTC_11,2024-09-15,2024-09-16,2,59135.1,58197.2,58197.2,59135.1,0.0,0.0,0.0,4.47,8.12,,4.8
BTC,BTC_12,2024-09-30,2024-10-02,3,63338.5,60635.3,60635.3,63338.5,0.0,0.0,0.0,-4.1,2.07,2.33,3.41
BTC,BTC_13,2024-10-08,2024-10-10,3,62117.9,60279.5,60279.5,62117.9,0.0,0.0,0.0,0.62,4.34,4.24,5.64
BTC,BTC_14,2024-10-22,2024-10-23,2,67387.6,66633.4,66633.4,67387.6,0.15,0.33,0.15,-1.16,0.59,,-0.34
BTC,BTC_15,2024-10-31,2024-11-04,5,70250.1,67783.3,67783.3,70250.1,0.0,0.0,0.0,-2.14,-2.46,0.12,10.33
BTC,BTC_16,2024-11-17,2024-11-17,1,89850.0,89850.0,89850.0,89850.0,0.0,0.0,0.0,5.02,,,8.83
BTC,BTC_17,2024-11-25,2024-11-26,2,93000.0,91914.5,91914.5,93000.0,4.49,0.0,0.0,2.84,6.05,,0.52
BTC,BTC_18,2024-12-03,2024-12-03,1,95917.5,95917.5,95917.5,95917.5,4.41,4.41,4.41,4.12,,,1.16
BTC,BTC_19,2024-12-10,2024-12-10,1,96655.1,96655.1,96655.1,96655.1,0.0,0.0,0.0,5.0,,,0.22
BTC,BTC_20,2024-12-18,2024-12-19,2,100166.1,97431.4,97431.4,100166.1,1.4,0.0,0.0,-2.93,-2.39,,-3.15
BTC,BTC_21,2024-12-22,2024-12-23,2,95101.9,94699.4,94699.4,95101.9,0.0,0.0,0.0,4.43,1.0,,-4.56
BTC,BTC_22,2024-12-27,2024-12-27,1,94148.9,94148.9,94148.9,94148.9,0.0,0.0,0.0,-1.63,,,-1.93
BTC,BTC_23,2024-12-30,2024-12-30,1,92611.3,92611.3,92611.3,92611.3,0.0,0.0,0.0,4.53,,,5.08
BTC,BTC_24,2025-01-08,2025-01-09,2,95060.4,92531.7,92531.7,95060.4,0.0,0.0,0.0,-0.52,2.07,,-0.22
BTC,BTC_25,2025-01-12,2025-01-12,1,94449.9,94449.9,94449.9,94449.9,0.0,0.0,0.0,6.4,,,5.81
BTC,BTC_26,2025-01-19,2025-01-19,1,101191.1,101191.1,101191.1,101191.1,8.39,8.39,8.39,2.43,,,1.72
BTC,BTC_27,2025-01-23,2025-01-23,1,103920.2,103920.2,103920.2,103920.2,9.75,9.75,9.75,-1.27,,,-2.58
BTC,BTC_28,2025-01-26,2025-01-28,3,102596.5,101299.8,101299.8,102596.5,0.0,0.0,0.0,1.08,2.56,1.09,-2.97
BTC,BTC_29,2025-02-01,2025-02-02,2,100624.2,97696.1,97696.1,100624.2,0.0,0.0,0.0,-2.74,-1.1,,-4.8
BTC,BTC_30,2025-02-05,2025-02-09,5,96623.8,96473.0,96473.0,96623.8,0.0,0.0,0.0,-0.13,-0.09,0.93,-0.83
BTC,BTC_31,2025-02-16,2025-02-18,3,96144.1,95600.0,95600.0,96144.1,7.92,0.0,0.0,0.5,2.68,0.52,-0.03
BTC,BTC_32,2025-02-24,2025-02-26,3,91534.4,84089.8,84089.8,91534.4,0.0,0.0,0.0,-7.48,-4.88,2.3,11.33
BTC,BTC_33,2025-03-07,2025-03-10,4,86762.3,78558.8,78558.8,86762.3,0.0,0.0,0.0,-9.46,-3.79,3.71,1.32
BTC,BTC_34,2025-03-21,2025-03-22,2,84034.3,83800.0,83800.0,84034.3,0.0,0.0,0.0,4.13,4.37,,0.96
BTC,BTC_35,2025-03-26,2025-03-26,1,86899.0,86899.0,86899.0,86899.0,0.0,0.0,0.0,-4.93,,,-5.6
BTC,BTC_36,2025-03-28,2025-03-30,3,84373.9,82325.4,82325.4,84373.9,9.88,0.0,0.0,-2.19,3.13,0.22,0.74
BTC,BTC_37,2025-04-06,2025-04-06,1,78363.4,78363.4,78363.4,78363.4,0.0,0.0,0.0,5.35,,,0.53
BTC,BTC_38,2025-04-27,2025-04-27,1,93817.0,93817.0,93817.0,93817.0,0.0,0.0,0.0,0.41,,,1.55
BTC,BTC_39,2025-04-30,2025-04-30,1,94205.4,94205.4,94205.4,94205.4,0.0,0.0,0.0,1.77,,,-2.25
BTC,BTC_40,2025-05-04,2025-05-04,1,94303.1,94303.1,94303.1,94303.1,0.0,0.0,0.0,2.89,,,8.97
BTC,BTC_41,2025-05-12,2025-05-12,1,102825.0,102825.0,102825.0,102825.0,0.0,0.0,0.0,0.91,,,-0.63
BTC,BTC_42,2025-05-17,2025-05-17,1,103169.1,103169.1,103169.1,103169.1,0.0,0.0,0.0,3.57,,,2.96
BTC,BTC_43,2025-05-28,2025-05-30,3,107811.7,104019.7,104019.7,107811.7,0.0,0.0,0.0,-2.92,0.08,1.83,0.75
BTC,BTC_44,2025-06-04,2025-06-05,2,104745.4,101579.7,101579.7,104745.4,0.0,0.0,0.0,0.87,4.11,,5.66
BTC,BTC_45,2025-06-11,2025-06-12,2,108702.0,105760.1,105760.1,108702.0,0.0,0.0,0.0,-2.96,-0.17,,0.64
BTC,BTC_46,2025-06-20,2025-06-22,3,103292.0,100987.9,100987.9,103292.0,0.0,0.0,0.0,2.02,3.87,6.31,1.48
BTC,BTC_47,2025-07-01,2025-07-01,1,105700.1,105700.1,105700.1,105700.1,0.0,0.0,0.0,2.19,,,-0.55
BTC,BTC_48,2025-07-19,2025-07-20,2,117909.1,117319.1,117319.1,117909.1,0.0,0.0,0.0,1.75,1.21,,0.79
BTC,BTC_49,2025-07-24,2025-07-25,2,118386.9,117628.1,117628.1,118386.9,0.0,0.0,0.0,0.9,0.3,,-0.01
BTC,BTC_50,2025-07-29,2025-08-02,5,117923.0,112525.2,112525.2,117923.0,0.0,0.0,0.0,-3.93,-4.49,-1.33,0.69
BTC,BTC_51,2025-08-09,2025-08-09,1,116467.4,116467.4,116467.4,116467.4,0.0,0.0,0.0,3.18,,,3.41
BTC,BTC_52,2025-08-15,2025-08-16,2,117426.7,117487.5,117426.7,117487.5,0.0,5.98,0.0,-0.99,-3.96,,-2.71
BTC,BTC_53,2025-08-18,2025-08-19,2,116260.0,112830.3,112830.3,116260.0,0.0,0.0,0.0,-3.27,3.53,,0.95
BTC,BTC_54,2025-08-24,2025-08-25,2,113456.1,110144.9,110144.9,113456.1,0.0,0.0,0.0,-1.93,2.2,,-3.07
BTC,BTC_55,2025-08-30,2025-08-30,1,108750.0,108750.0,108750.0,108750.0,7.75,7.75,7.75,2.25,,,3.25
BTC,BTC_56,2025-09-05,2025-09-06,2,110647.8,110254.9,110254.9,110647.8,0.0,0.0,0.0,1.27,1.17,,2.52
BTC,BTC_57,2025-09-14,2025-09-15,2,115390.6,115374.9,115374.9,115390.6,0.0,0.0,0.0,0.93,1.53,,-0.93
BTC,BTC_58,2025-09-20,2025-09-20,1,115739.1,115739.1,115739.1,115739.1,4.07,4.07,4.07,-3.23,,,-1.73
BTC,BTC_59,2025-09-22,2025-09-23,2,112747.8,112001.5,112001.5,112747.8,0.0,0.0,0.0,-3.28,-2.05,,-3.16
BTC,BTC_60,2025-10-10,2025-10-11,2,113000.1,110775.1,110775.1,113000.1,0.0,0.0,0.0,1.92,2.1,,-3.77
BTC,BTC_61,2025-10-14,2025-10-17,4,113106.2,106451.0,106451.0,113106.2,1.91,0.0,0.0,-5.88,-3.23,0.45,1.13
BTC,BTC_62,2025-10-22,2025-10-22,1,107644.1,107644.1,107644.1,107644.1,0.0,0.0,0.0,3.72,,,4.02
BTC,BTC_63,2025-10-28,2025-10-30,3,112918.0,108302.7,108302.7,112918.0,0.0,0.0,0.0,-2.98,-0.08,2.11,-2.75
BTC,BTC_64,2025-11-04,2025-11-04,1,101537.3,101537.3,101537.3,101537.3,0.0,0.0,0.0,1.72,,,-1.56
BTC,BTC_65,2025-11-12,2025-11-14,3,101666.6,94517.3,94517.3,101666.6,0.0,0.0,0.0,-6.03,-5.51,-2.56,-2.69
BTC,BTC_66,2025-11-17,2025-11-17,1,92101.3,92101.3,92101.3,92101.3,0.0,0.0,0.0,-6.08,,,-8.49
BTC,BTC_67,2025-11-20,2025-11-22,3,86503.0,84679.9,84679.9,86503.0,0.0,0.0,0.0,0.32,3.77,3.13,4.33
BTC,BTC_68,2025-11-29,2025-12-01,3,90833.6,86300.0,86300.0,90833.6,0.0,0.0,0.0,0.53,3.41,6.77,-2.17
BTC,BTC_69,2025-12-05,2025-12-06,2,89332.4,89240.1,89240.1,89332.4,0.0,0.0,0.0,1.48,3.88,,1.75
BTC,BTC_70,2025-12-13,2025-12-15,3,90254.1,86434.3,86434.3,90254.1,0.0,0.0,0.0,-2.67,-2.22,-1.12,0.3
BTC,BTC_71,2025-12-18,2025-12-18,1,85462.5,85462.5,85462.5,85462.5,0.0,0.0,0.0,3.7,,,0.5
BTC,BTC_72,2025-12-23,2025-12-23,1,87416.4,87416.4,87416.4,87416.4,0.0,0.0,0.0,-0.13,,,0.22
BTC,BTC_73,2025-12-29,2025-12-29,1,87135.1,87135.1,87135.1,87135.1,6.59,6.59,6.59,1.83,,,1.73
BTC,BTC_74,2026-01-07,2026-01-10,4,91273.3,90375.2,90375.2,91273.3,0.0,0.0,0.0,-0.98,-0.2,0.75,6.7
BTC,BTC_75,2026-01-16,2026-01-20,5,95510.9,88309.9,88309.9,95510.9,0.0,0.0,0.0,-3.1,-7.13,-4.55,-0.33
BTC,BTC_76,2026-01-24,2026-01-25,2,89079.6,86572.3,86572.3,89079.6,8.94,0.0,0.0,0.05,2.99,,-4.23
BTC,BTC_77,2026-01-29,2026-02-01,4,84515.1,76882.2,76882.2,84515.1,0.76,0.0,0.0,-9.03,-6.49,-3.8,-20.1
BTC,BTC_78,2026-02-04,2026-02-05,2,73013.6,62858.1,62858.1,73013.6,0.0,0.0,0.0,-5.13,11.85,,-0.62
BTC,BTC_79,2026-02-10,2026-02-12,3,68785.5,66203.8,66203.8,68785.5,0.0,0.0,0.0,0.07,4.04,3.89,0.03
BTC,BTC_80,2026-02-16,2026-02-18,3,68860.0,66425.7,66425.7,68860.0,7.56,0.0,0.0,-2.77,0.77,2.32,0.98
BTC,BTC_81,2026-02-22,2026-02-24,3,67612.1,64061.9,64061.9,67612.1,0.0,0.0,0.0,0.54,4.39,2.82,-1.46
BTC,BTC_82,2026-02-27,2026-02-27,1,65869.7,65869.7,65869.7,65869.7,0.0,0.0,0.0,4.46,,,2.02
BTC,BTC_83,2026-03-06,2026-03-08,3,68128.0,65978.7,65978.7,68128.0,0.0,0.0,0.0,0.47,3.99,6.4,3.03
BTC,BTC_84,2026-03-18,2026-03-19,2,71270.9,69911.9,69911.9,71270.9,0.0,0.0,0.0,-3.32,-2.94,,0.53
BTC,BTC_85,2026-03-22,2026-03-22,1,67857.1,67857.1,67857.1,67857.1,0.0,0.0,0.0,5.09,,,-2.97
BTC,BTC_86,2026-03-27,2026-03-29,3,66358.3,65950.3,65950.3,66358.3,0.0,0.0,0.0,0.55,2.86,3.26,0.23
BTC,BTC_87,2026-04-02,2026-04-03,2,66880.8,66933.0,66880.8,66933.0,0.0,4.11,0.0,3.14,2.88,,6.9
BTC,BTC_88,2026-04-12,2026-04-12,1,70754.1,70754.1,70754.1,70754.1,3.63,3.63,3.63,5.73,,,0.97
BTC,BTC_89,2026-04-19,2026-04-19,1,73827.6,73827.6,73827.6,73827.6,0.0,0.0,0.0,5.93,,,3.21
BTC,BTC_90,2026-04-24,2026-04-24,1,77455.0,77455.0,77455.0,77455.0,8.76,8.76,8.76,-0.1,,,-1.7
BTC,BTC_91,2026-04-28,2026-04-29,2,76331.9,75750.3,75750.3,76331.9,0.0,0.0,0.0,2.49,3.84,,2.93
BTC,BTC_92,2026-05-12,2026-05-13,2,80492.3,79292.1,79292.1,80492.3,0.0,0.0,0.0,-1.78,-1.47,,-4.51
BTC,BTC_93,2026-05-16,2026-05-19,4,78122.8,76756.3,76756.3,78122.8,0.0,0.0,0.0,-1.75,0.09,0.78,-1.04
BTC,BTC_94,2026-05-22,2026-05-22,1,75456.5,75456.5,75456.5,75456.5,3.25,3.25,3.25,2.4,,,-1.1
BTC,BTC_95,2026-05-27,2026-05-29,3,74337.1,73370.7,73370.7,74337.1,0.0,0.0,0.0,-0.78,0.07,-2.8,-9.6
BTC,BTC_96,2026-06-01,2026-06-06,6,71317.5,60855.7,60855.7,71317.5,0.0,0.0,0.0,-10.52,-8.45,-4.97,-2.91
BTC,BTC_97,2026-06-09,2026-06-10,2,61690.4,61464.4,61464.4,61690.4,0.0,0.0,0.0,3.0,4.78,,3.4
BTC,BTC_98,2026-06-17,2026-06-18,2,64454.8,62885.6,62885.6,64454.8,0.0,0.0,0.0,-0.32,0.55,,0.74
BTC,BTC_99,2026-06-24,2026-06-25,2,60980.8,59707.1,59707.1,60980.8,0.0,0.0,0.0,-1.23,0.88,,0.37
SPY,SPY_1,2025-08-25,2025-08-27,3,639.26,638.83,638.83,639.26,0.0,0.0,0.0,0.54,0.61,-0.87,-0.9
SPY,SPY_2,2025-09-02,2025-09-02,1,633.3,633.3,633.3,633.3,0.0,0.0,0.0,1.69,,,1.11
SPY,SPY_3,2025-09-06,2025-09-06,1,643.99,643.99,643.99,643.99,0.0,0.0,0.0,1.0,,,1.27
SPY,SPY_4,2025-09-24,2025-09-25,2,659.42,652.56,652.56,659.42,0.0,0.0,0.0,0.09,1.29,,0.41
SPY,SPY_5,2025-10-10,2025-10-11,2,650.62,650.62,650.62,650.62,0.0,0.0,0.0,1.44,2.13,,-0.27
SPY,SPY_6,2025-10-22,2025-10-22,1,660.81,660.81,660.81,660.81,0.0,0.0,0.0,2.42,,,2.0
SPY,SPY_7,2025-11-01,2025-11-01,1,674.44,674.44,674.44,674.44,0.0,0.0,0.0,1.56,,,-1.05
SPY,SPY_8,2025-11-16,2025-11-16,1,657.88,657.88,657.88,657.88,0.0,0.0,0.0,3.6,,,-0.14
SPY,SPY_9,2025-11-23,2025-11-24,2,672.89,667.57,667.57,672.89,0.0,0.0,0.0,0.46,1.84,,1.22
SPY,SPY_10,2025-12-01,2025-12-01,1,677.08,677.08,677.08,677.08,0.0,0.0,0.0,0.77,,,0.92
SPY,SPY_11,2025-12-07,2025-12-09,3,683.71,678.57,678.57,683.71,0.0,0.0,0.0,-0.26,0.59,-0.18,0.34
SPY,SPY_12,2025-12-15,2025-12-17,3,677.04,669.02,669.02,677.04,0.0,0.0,0.0,-0.67,0.58,1.87,1.35
SPY,SPY_13,2025-12-29,2026-01-01,4,684.54,679.05,679.05,684.54,0.0,0.0,0.0,-0.8,-0.74,0.76,0.83
SPY,SPY_14,2026-01-13,2026-01-14,2,690.56,686.37,686.37,690.56,0.0,0.0,0.0,-0.23,-0.94,,0.31
SPY,SPY_15,2026-01-17,2026-01-17,1,679.9,679.9,679.9,679.9,0.0,0.0,0.0,-0.78,,,-1.27
SPY,SPY_16,2026-01-20,2026-01-20,1,674.58,674.58,674.58,674.58,0.0,0.0,0.0,1.48,,,-0.17
SPY,SPY_17,2026-01-24,2026-01-25,2,681.77,681.77,681.77,681.77,0.0,0.0,0.0,1.57,1.49,,0.06
SPY,SPY_18,2026-01-29,2026-01-31,3,690.3,686.24,686.24,690.3,0.0,0.0,0.0,0.18,1.18,0.31,-0.97
SPY,SPY_19,2026-02-04,2026-02-05,2,684.83,672.8,672.8,684.83,0.0,0.0,0.0,1.34,3.16,,0.59
SPY,SPY_20,2026-02-09,2026-02-13,5,693.38,677.78,677.78,693.38,0.0,0.0,0.0,-1.71,-2.15,-1.12,0.08
SPY,SPY_21,2026-02-22,2026-02-23,2,681.19,681.21,681.19,681.21,0.0,0.47,0.0,1.32,0.57,,-0.32
SPY,SPY_22,2026-02-27,2026-03-01,3,682.6,677.29,677.29,682.6,0.0,0.0,0.0,0.03,-0.34,1.14,-0.62
SPY,SPY_23,2026-03-06,2026-03-08,3,668.56,663.52,663.52,668.57,0.0,0.2,0.0,0.84,1.11,1.27,-1.47
SPY,SPY_24,2026-03-12,2026-03-13,2,664.26,661.4,661.4,664.26,0.0,0.0,0.0,0.94,0.8,,-0.06
